"gov","minoria","pmdb","psd","psdb","pt","resultado","KIND"
"0","2","2","1","1","2","0.844",0
"2","0","2","1","1","2","0.962",0
"0","0","2","1","1","2","0.764",0
"2","1","2","1","1","2","0.972",0
"0","1","2","1","1","2","0.776",0
"2","2","0","1","1","2","0.77",0
"0","2","0","1","1","2","0.566",0
"2","0","0","1","1","2","0.648",0
"0","0","0","1","1","2","0.414",0
"2","1","0","1","1","2","0.8",0
"0","1","0","1","1","2","0.478",0
"2","2","1","1","1","2","0.772",0
"0","2","1","1","1","2","0.618",0
"2","0","1","1","1","2","0.65",0
"0","0","1","1","1","2","0.434",0
"2","1","1","1","1","2","0.756",0
"0","1","1","1","1","2","0.486",0
"2","2","2","2","2","0","0.984",0
"0","2","2","2","2","0","0.962",0
"2","0","2","2","2","0","0.93",0
"0","0","2","2","2","0","0.826",0
"2","1","2","2","2","0","0.984",0
"0","1","2","2","2","0","0.91",0
"2","2","0","2","2","0","0.848",0
"0","2","0","2","2","0","0.75",0
"2","0","0","2","2","0","0.646",0
"0","0","0","2","2","0","0.472",0
"2","1","0","2","2","0","0.8",0
"0","1","0","2","2","0","0.624",0
"2","2","1","2","2","0","0.876",0
"0","2","1","2","2","0","0.796",0
"2","0","1","2","2","0","0.672",0
"0","0","1","2","2","0","0.498",0
"2","1","1","2","2","0","0.802",0
"0","1","1","2","2","0","0.652",0
"2","2","2","0","2","0","0.666",0
"0","2","2","0","2","0","0.41",0
"2","0","2","0","2","0","0.706",0
"0","0","2","0","2","0","0.432",0
"2","1","2","0","2","0","0.716",0
"0","1","2","0","2","0","0.454",0
"2","2","0","0","2","0","0.278",0
"0","2","0","0","2","0","0.004",0
"2","0","0","0","2","0","0.242",0
"0","0","0","0","2","0","0.012",0
"2","1","0","0","2","0","0.358",0
"0","1","0","0","2","0","0.06",0
"2","2","1","0","2","0","0.298",0
"0","2","1","0","2","0","0.082",0
"2","0","1","0","2","0","0.256",0
"0","0","1","0","2","0","0.06",0
"2","1","1","0","2","0","0.35",0
"0","1","1","0","2","0","0.104",0
"2","2","2","1","2","0","0.912",0
"0","2","2","1","2","0","0.834",0
"2","0","2","1","2","0","0.882",0
"0","0","2","1","2","0","0.724",0
"2","1","2","1","2","0","0.878",0
"0","1","2","1","2","0","0.706",0
"2","2","0","1","2","0","0.706",0
"0","2","0","1","2","0","0.534",0
"2","0","0","1","2","0","0.558",0
"0","0","0","1","2","0","0.356",0
"2","1","0","1","2","0","0.652",0
"0","1","0","1","2","0","0.338",0
"2","2","1","1","2","0","0.712",0
"0","2","1","1","2","0","0.594",0
"2","0","1","1","2","0","0.574",0
"0","0","1","1","2","0","0.39",0
"2","1","1","1","2","0","0.616",0
"0","1","1","1","2","0","0.346",0
"2","2","2","2","0","0","0.952",0
"0","2","2","2","0","0","0.842",0
"2","0","2","2","0","0","0.898",0
"0","0","2","2","0","0","0.702",0
"2","1","2","2","0","0","0.964",0
"0","1","2","2","0","0","0.804",0
"2","2","0","2","0","0","0.636",0
"0","2","0","2","0","0","0.496",0
"2","0","0","2","0","0","0.436",0
"0","0","0","2","0","0","0.218",0
"2","1","0","2","0","0","0.636",0
"0","1","0","2","0","0","0.418",0
"2","2","1","2","0","0","0.668",0
"0","2","1","2","0","0","0.522",0
"2","0","1","2","0","0","0.464",0
"0","0","1","2","0","0","0.22",0
"2","1","1","2","0","0","0.644",0
"0","1","1","2","0","0","0.422",0
"2","2","2","0","0","0","0.678",0
"0","2","2","0","0","0","0.41",0
"2","0","2","0","0","0","0.714",0
"0","0","2","0","0","0","0.428",0
"2","1","2","0","0","0","0.726",0
"0","1","2","0","0","0","0.434",0
"2","2","0","0","0","0","0.174",0
"0","2","0","0","0","0","0.002",0
"2","0","0","0","0","0","0.134",0
"0","0","0","0","0","0","0.004",0
"2","1","0","0","0","0","0.204",0
"0","1","0","0","0","0","0.01",0
"2","2","1","0","0","0","0.202",0
"0","2","1","0","0","0","0.052",0
"2","0","1","0","0","0","0.15",0
"0","0","1","0","0","0","0.024",0
"2","1","1","0","0","0","0.224",0
"0","1","1","0","0","0","0.04",0
"2","2","2","1","0","0","0.874",0
"0","2","2","1","0","0","0.748",0
"2","0","2","1","0","0","0.844",0
"0","0","2","1","0","0","0.64",0
"2","1","2","1","0","0","0.864",0
"0","1","2","1","0","0","0.66",0
"2","2","0","1","0","0","0.53",0
