"gov","minoria","pmdb","psd","psdb","pt","TIPO","pps","pr","prp","resultado"
"Sim","Liberado","Sim","Sim","Não","Sim","MPV","Sim","Sim","Sim",283.233259645181
"Não","Liberado","Sim","Sim","Não","Sim","MPV","Sim","Sim","Sim",280.366577794742
"Sim","Sim","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",243.488526559059
"Não","Sim","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",235.175260282042
"Sim","Não","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",214.484103492889
"Não","Não","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",207.913456877624
"Sim","Liberado","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",223.767032250931
"Não","Liberado","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",218.914410309093
"Sim","Sim","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",271.498269750046
"Não","Sim","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",264.464790063949
"Sim","Não","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",244.419877230554
"Não","Não","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",241.41531946801
"Sim","Liberado","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",249.857395159895
"Não","Liberado","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",249.750825741888
"Sim","Sim","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",284.226172242856
"Não","Sim","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",268.420960818257
"Sim","Não","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",256.588731252456
"Não","Não","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",245.112154599056
"Sim","Liberado","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",262.236474678185
"Não","Liberado","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",252.397071076081
"Sim","Sim","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",215.575302040001
"Não","Sim","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",201.1329942724
"Sim","Não","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",188.139431744811
"Não","Não","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",174.670106341094
"Sim","Liberado","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",198.180897981761
"Não","Liberado","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",185.144363394191
"Sim","Sim","Liberado","Não","Não","Sim","MPV","Sim","Sim","Sim",247.121501223315
"Não","Sim","Liberado","Não","Não","Sim","MPV","Sim","Sim","Sim",235.417151127747
"Sim","Não","Liberado","Não","Não","Sim","MPV","Sim","Sim","Sim",221.672626711712
"Não","Não","Liberado","Não","Não","Sim","MPV","Sim","Sim","Sim",212.278790935544
"Sim","Liberado","Liberado","Não","Não","Sim","MPV","Sim","Sim","Sim",228.863209020474
"Não","Liberado","Liberado","Não","Não","Sim","MPV","Sim","Sim","Sim",221.55433620425
"Sim","Sim","Sim","Liberado","Não","Sim","MPV","Sim","Sim","Sim",290.016502438148
"Não","Sim","Sim","Liberado","Não","Sim","MPV","Sim","Sim","Sim",279.174184871219
"Sim","Não","Sim","Liberado","Não","Sim","MPV","Sim","Sim","Sim",259.62462606978
"Não","Não","Sim","Liberado","Não","Sim","MPV","Sim","Sim","Sim",254.080649187403
"Sim","Liberado","Sim","Liberado","Não","Sim","MPV","Sim","Sim","Sim",263.970207961559
"Não","Liberado","Sim","Liberado","Não","Sim","MPV","Sim","Sim","Sim",261.046760070626
"Sim","Sim","Não","Liberado","Não","Sim","MPV","Sim","Sim","Sim",227.715902473244
"Não","Sim","Não","Liberado","Não","Sim","MPV","Sim","Sim","Sim",219.396985134621
"Sim","Não","Não","Liberado","Não","Sim","MPV","Sim","Sim","Sim",199.235954839497
"Não","Não","Não","Liberado","Não","Sim","MPV","Sim","Sim","Sim",192.329163921026
"Sim","Liberado","Não","Liberado","Não","Sim","MPV","Sim","Sim","Sim",207.887351725793
"Não","Liberado","Não","Liberado","Não","Sim","MPV","Sim","Sim","Sim",203.143727147414
"Sim","Sim","Liberado","Liberado","Não","Sim","MPV","Sim","Sim","Sim",255.886968331613
"Não","Sim","Liberado","Liberado","Não","Sim","MPV","Sim","Sim","Sim",248.650426472799
"Sim","Não","Liberado","Liberado","Não","Sim","MPV","Sim","Sim","Sim",228.368520844248
"Não","Não","Liberado","Liberado","Não","Sim","MPV","Sim","Sim","Sim",225.151074334052
"Sim","Liberado","Liberado","Liberado","Não","Sim","MPV","Sim","Sim","Sim",233.997011460329
"Não","Liberado","Liberado","Liberado","Não","Sim","MPV","Sim","Sim","Sim",233.800528294671
"Sim","Sim","Sim","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",311.161455927543
"Não","Sim","Sim","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",302.62893846221
"Sim","Não","Sim","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",279.080067919483
"Não","Não","Sim","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",276.144804621864
"Sim","Liberado","Sim","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",282.723518051925
"Não","Liberado","Sim","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",282.601302868153
"Sim","Sim","Não","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",244.295163788496
"Não","Sim","Não","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",238.893872692213
"Sim","Não","Não","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",216.625712150897
"Não","Não","Não","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",212.591702621128
"Sim","Liberado","Não","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",224.478507575607
"Não","Liberado","Não","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",222.677522719263
"Sim","Sim","Liberado","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",272.387934685111
"Não","Sim","Liberado","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",267.980905448565
"Sim","Não","Liberado","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",245.001404898538
"Não","Não","Liberado","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",244.521026156973
"Sim","Liberado","Liberado","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",250.077756161213
"Não","Liberado","Liberado","Sim","Liberado","Sim","MPV","Sim","Sim","Sim",252.661699097518
"Sim","Sim","Sim","Não","Liberado","Sim","MPV","Sim","Sim","Sim",282.790757957141
"Não","Sim","Sim","Não","Liberado","Sim","MPV","Sim","Sim","Sim",270.853541490526
"Sim","Não","Sim","Não","Liberado","Sim","MPV","Sim","Sim","Sim",255.709838523191
"Não","Não","Sim","Não","Liberado","Sim","MPV","Sim","Sim","Sim",247.999195203124
"Sim","Liberado","Sim","Não","Liberado","Sim","MPV","Sim","Sim","Sim",260.224964301861
"Não","Liberado","Sim","Não","Liberado","Sim","MPV","Sim","Sim","Sim",254.495517562502
"Sim","Sim","Não","Não","Liberado","Sim","MPV","Sim","Sim","Sim",215.674365883194
"Não","Sim","Não","Não","Liberado","Sim","MPV","Sim","Sim","Sim",205.624847212534
"Sim","Não","Não","Não","Liberado","Sim","MPV","Sim","Sim","Sim",190.94700034991
"Não","Não","Não","Não","Liberado","Sim","MPV","Sim","Sim","Sim",181.741057975319
"Sim","Liberado","Não","Não","Liberado","Sim","MPV","Sim","Sim","Sim",198.963999920193
"Não","Liberado","Não","Não","Liberado","Sim","MPV","Sim","Sim","Sim",190.687016334324
"Sim","Sim","Liberado","Não","Liberado","Sim","MPV","Sim","Sim","Sim",247.164077269491
"Não","Sim","Liberado","Não","Liberado","Sim","MPV","Sim","Sim","Sim",238.854467819552
"Sim","Não","Liberado","Não","Liberado","Sim","MPV","Sim","Sim","Sim",222.674432157474
"Não","Não","Liberado","Não","Liberado","Sim","MPV","Sim","Sim","Sim",216.913542068952
"Sim","Liberado","Liberado","Não","Liberado","Sim","MPV","Sim","Sim","Sim",228.943847799569
"Não","Liberado","Liberado","Não","Liberado","Sim","MPV","Sim","Sim","Sim",225.463077533736
"Sim","Sim","Sim","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",289.298431009576
"Não","Sim","Sim","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",281.583318204552
"Sim","Não","Sim","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",259.071076197658
"Não","Não","Sim","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",256.535365981947
"Sim","Liberado","Sim","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",262.676040442378
"Não","Liberado","Sim","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",262.834059218111
"Sim","Sim","Não","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",228.126673036014
"Não","Sim","Não","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",223.844719767013
