"gov","minoria","pmdb","psd","psdb","pt","resultado","KIND"
"0","2","2","1","1","2","0.854",0
"2","0","2","1","1","2","0.928",0
"0","0","2","1","1","2","0.808",0
"2","1","2","1","1","2","0.956",0
"0","1","2","1","1","2","0.836",0
"2","2","0","1","1","2","0.754",0
"0","2","0","1","1","2","0.598",0
"2","0","0","1","1","2","0.68",0
"0","0","0","1","1","2","0.5",0
"2","1","0","1","1","2","0.836",0
"0","1","0","1","1","2","0.582",0
"2","2","1","1","1","2","0.816",0
"0","2","1","1","1","2","0.714",0
"2","0","1","1","1","2","0.772",0
"0","0","1","1","1","2","0.632",0
"2","1","1","1","1","2","0.86",0
"0","1","1","1","1","2","0.702",0
"2","2","2","2","2","0","0.99",0
"0","2","2","2","2","0","0.952",0
"2","0","2","2","2","0","0.968",0
"0","0","2","2","2","0","0.884",0
"2","1","2","2","2","0","0.982",0
"0","1","2","2","2","0","0.928",0
"2","2","0","2","2","0","0.816",0
"0","2","0","2","2","0","0.74",0
"2","0","0","2","2","0","0.696",0
"0","0","0","2","2","0","0.576",0
"2","1","0","2","2","0","0.826",0
"0","1","0","2","2","0","0.678",0
"2","2","1","2","2","0","0.9",0
"0","2","1","2","2","0","0.86",0
"2","0","1","2","2","0","0.84",0
"0","0","1","2","2","0","0.742",0
"2","1","1","2","2","0","0.906",0
"0","1","1","2","2","0","0.814",0
"2","2","2","0","2","0","0.634",0
"0","2","2","0","2","0","0.356",0
"2","0","2","0","2","0","0.674",0
"0","0","2","0","2","0","0.4",0
"2","1","2","0","2","0","0.71",0
"0","1","2","0","2","0","0.436",0
"2","2","0","0","2","0","0.322",0
"0","2","0","0","2","0","0.002",0
"2","0","0","0","2","0","0.314",0
"0","0","0","0","2","0","0.012",0
"2","1","0","0","2","0","0.434",0
"0","1","0","0","2","0","0.068",0
"2","2","1","0","2","0","0.396",0
"0","2","1","0","2","0","0.108",0
"2","0","1","0","2","0","0.404",0
"0","0","1","0","2","0","0.126",0
"2","1","1","0","2","0","0.5",0
"0","1","1","0","2","0","0.176",0
"2","2","2","1","2","0","0.948",0
"0","2","2","1","2","0","0.886",0
"2","0","2","1","2","0","0.918",0
"0","0","2","1","2","0","0.82",0
"2","1","2","1","2","0","0.942",0
"0","1","2","1","2","0","0.848",0
"2","2","0","1","2","0","0.728",0
"0","2","0","1","2","0","0.58",0
"2","0","0","1","2","0","0.628",0
"0","0","0","1","2","0","0.448",0
"2","1","0","1","2","0","0.738",0
"0","1","0","1","2","0","0.502",0
"2","2","1","1","2","0","0.842",0
"0","2","1","1","2","0","0.764",0
"2","0","1","1","2","0","0.774",0
"0","0","1","1","2","0","0.65",0
"2","1","1","1","2","0","0.842",0
"0","1","1","1","2","0","0.702",0
"2","2","2","2","0","0","0.976",0
"0","2","2","2","0","0","0.878",0
"2","0","2","2","0","0","0.952",0
"0","0","2","2","0","0","0.804",0
"2","1","2","2","0","0","0.97",0
"0","1","2","2","0","0","0.858",0
"2","2","0","2","0","0","0.714",0
"0","2","0","2","0","0","0.586",0
"2","0","0","2","0","0","0.588",0
"0","0","0","2","0","0","0.416",0
"2","1","0","2","0","0","0.722",0
"0","1","0","2","0","0","0.522",0
"2","2","1","2","0","0","0.842",0
"0","2","1","2","0","0","0.742",0
"2","0","1","2","0","0","0.784",0
"0","0","1","2","0","0","0.622",0
"2","1","1","2","0","0","0.848",0
"0","1","1","2","0","0","0.702",0
"2","2","2","0","0","0","0.632",0
"0","2","2","0","0","0","0.36",0
"2","0","2","0","0","0","0.668",0
"0","0","2","0","0","0","0.4",0
"2","1","2","0","0","0","0.704",0
"0","1","2","0","0","0","0.434",0
"2","2","0","0","0","0","0.234",0
"0","2","0","0","0","0","0",0
"2","0","0","0","0","0","0.218",0
"0","0","0","0","0","0","0.004",0
"2","1","0","0","0","0","0.29",0
"0","1","0","0","0","0","0.016",0
"2","2","1","0","0","0","0.326",0
"0","2","1","0","0","0","0.096",0
"2","0","1","0","0","0","0.324",0
"0","0","1","0","0","0","0.106",0
"2","1","1","0","0","0","0.404",0
"0","1","1","0","0","0","0.134",0
"2","2","2","1","0","0","0.902",0
"0","2","2","1","0","0","0.808",0
"2","0","2","1","0","0","0.864",0
"0","0","2","1","0","0","0.734",0
"2","1","2","1","0","0","0.894",0
"0","1","2","1","0","0","0.774",0
"2","2","0","1","0","0","0.572",0
"0","2","0","1","0","0","0.44",0
"2","0","0","1","0","0","0.458",0
"0","0","0","1","0","0","0.3",0
"2","1","0","1","0","0","0.576",0
"0","1","0","1","0","0","0.366",0
"2","2","1","1","0","0","0.722",0
"0","2","1","1","0","0","0.634",0
"2","0","1","1","0","0","0.648",0
"0","0","1","1","0","0","0.516",0
"2","1","1","1","0","0","0.722",0
"0","1","1","1","0","0","0.58",0
"2","2","2","2","1","0","0.956",0
"0","2","2","2","1","0","0.9",0
"2","0","2","2","1","0","0.934",0
"0","0","2","2","1","0","0.832",0
"2","1","2","2","1","0","0.948",0
"0","1","2","2","1","0","0.874",0
"2","2","0","2","1","0","0.77",0
"0","2","0","2","1","0","0.678",0
"2","0","0","2","1","0","0.656",0
"0","0","0","2","1","0","0.518",0
"2","1","0","2","1","0","0.776",0
"0","1","0","2","1","0","0.606",0
"2","2","1","2","1","0","0.852",0
"0","2","1","2","1","0","0.788",0
"2","0","1","2","1","0","0.796",0
