"ID_VOTACAO","governismo","grupo_governismo","DATA","HORA","ORIENTACAO_GOVERNO","TIPO","NUMERO","ANO","EMENTA","O_QUE_FOI_VOTADO","LINGUAGEM_COMUM"
"327539f005dbda3fe0fc058029b820d7",0.995594713656388,1,150310,"21:09:00","Sim","PEC",590,2006,"Dá nova redação ao § 1º do art. 58 da Constituição Federal, para garantir a representação proporcional de cada sexo na composição das Mesas e Comissões do Congresso Nacional, da Câmara dos Deputados e do Senado Federal.","Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 590 de 2006. Sim: 452; não: 2; total: 454.","Cota de mulheres na Mesa Diretora"
"342d752c42529f646a951a08e0f037eb",0.344632768361582,0,150423,"13:45:00","Não","PL",2505,2000,"Determina que o material apreendido pela Polícia Federal, fruto de contrabando e que possa vir a ser usado no combate ao crime, deverá ser repassado às Secretarias de Segurança Pública Estaduais e à Polícia Federal.","Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.",""
"3504852036bbd131a9c3372c40cd9a84",0.508045977011494,0,150407,"19:24:00","Não","MPV",660,2014,"Altera a Lei nº 12.800, de 23 de abril de 2013, que dispõe sobre as tabelas de salários, vencimentos, soldos e demais vantagens aplicáveis aos servidores civis, aos militares e  aos  empregados  oriundos   do ex-Território Federal de Rondônia integrantes do quadro em extinção de que trata o art. 85 da Lei nº 12.249, de 11 de junho de 2010, e os Anexos III e III-A da Lei nº 11.356, de 19 de outubro de 2006; e dá outras providências.","Suprimido o texto destacado. Sim: 214; não: 221; abstenção: 4; total: 439.","Salário de ex-funcionários de território federal"
"35fe8a63b49b2f69a2beb1acf2100b06",0.610687022900763,0,150331,"18:13:00","Sim","PL",3481,2012,"Dispõe sobre uso de explosivos na destruição ou rompimento de obstáculo para o crime de Furto e dá outras providências.","Aprovado o destaque de preferência. Sim: 240; não: 153; abstenção: 1; total: 394.","Muda pena para uso de explosão durante furto"
"3b61da866c70ced7ee41763f14b30f7f",0.993710691823899,1,150317,"18:41:00","Sim","PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.","Aprovada a Emenda nº 18. Sim: 316; não: 2; total: 318.","Regulamentação do trabalho doméstico"
"428225d83e8e534b7075ad54dbe70e10",0.656804733727811,0,150324,"17:47:00","Sim","REQ",1030,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 644/2015.","Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 222; não: 116; total: 338.","Define crime de abuso de autoridade"
"47de837c96b279e84a5edce12ed0dfc2",0.660098522167488,0,150317,"18:07:00","Sim","PL",7469,2014,"Altera a Lei nº 12.382, de 25 de fevereiro de 2011, com o objetivo de estender o prazo referente à política de valorização do salário mínimo e, consequentemente, o seu aumento real, mantendo os índices de correção vigentes.","Aprovado o Requerimento. Sim:268; não: 138; abstenção: 1; total: 407","Correção do salário mínimo"
"499609edf40d27e9763f38009be0e572",0.660098522167488,0,150317,"18:07:00","Sim","PL",7469,2014,"Altera a Lei nº 12.382, de 25 de fevereiro de 2011, com o objetivo de estender o prazo referente à política de valorização do salário mínimo e, consequentemente, o seu aumento real, mantendo os índices de correção vigentes.","Aprovado o Requerimento. Sim: 268; não: 138; abstenção: 1; total: 407. (Passou-se à apreciação do PLP nº 302/2013).","Correção do salário mínimo"
"4e6745b50fb5b929ee5c96683e83c3d2",0.876436781609195,1,150324,"18:38:00","Sim","REQ",1117,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 8122/2014.","","Publicação de dados de elucidação de crimes por UF"
"59cabd58cd300fbe42913a15d09ec69b",0.519337016574586,0,150305,"18:41:00","Sim","PL",7699,2006,"Institui o Estatuto do Portador de Deficiência e dá outras providências.","Mantido o inciso destacado. Sim: 188; não: 174; abstenção: 6; total: 368.","Estatuto do portador de deficiência"
