"gov","minoria","pmdb","psd","psdb","pt","PMDB","PSDB","PSD","PT","resultado"
"Não","Sim","Não","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.496
"Sim","Não","Não","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.502
"Não","Não","Não","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.44
"Sim","Liberado","Não","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.554
"Não","Liberado","Não","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.49
"Sim","Sim","Liberado","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.574
"Não","Sim","Liberado","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.524
"Sim","Não","Liberado","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.534
"Não","Não","Liberado","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.492
"Sim","Liberado","Liberado","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.584
"Não","Liberado","Liberado","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.534
"Sim","Sim","Sim","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.838
"Não","Sim","Sim","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.84
"Sim","Não","Sim","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.756
"Não","Não","Sim","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.778
"Sim","Liberado","Sim","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.83
"Não","Liberado","Sim","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.818
"Sim","Sim","Não","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.824
"Não","Sim","Não","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.806
"Sim","Não","Não","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.758
"Não","Não","Não","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.746
"Sim","Liberado","Não","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.844
"Não","Liberado","Não","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.808
"Sim","Sim","Liberado","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.812
"Não","Sim","Liberado","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.812
"Sim","Não","Liberado","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.75
"Não","Não","Liberado","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.764
"Sim","Liberado","Liberado","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.83
"Não","Liberado","Liberado","Liberado","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.816
"Sim","Sim","Sim","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.794
"Não","Sim","Sim","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.796
"Sim","Não","Sim","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.71
"Não","Não","Sim","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.732
"Sim","Liberado","Sim","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.788
"Não","Liberado","Sim","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.78
"Sim","Sim","Não","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.744
"Não","Sim","Não","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.73
"Sim","Não","Não","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.674
"Não","Não","Não","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.666
"Sim","Liberado","Não","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.762
"Não","Liberado","Não","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.734
"Sim","Sim","Liberado","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.754
"Não","Sim","Liberado","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.754
"Sim","Não","Liberado","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.688
"Não","Não","Liberado","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.702
"Sim","Liberado","Liberado","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.768
"Não","Liberado","Liberado","Sim","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.758
"Sim","Sim","Sim","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.702
